Марка	Серия	Полная масса [кг]	Максимальный крутящий момент [Н*м]	Мощность двигателя [л.с.]	Объем двигателя [см3]	Тип двигателя	Количество цилиндров	Тип КПП	Количество передач	Привод	Объём топливного бака [л]	Разгон до 100 км/ч [сек]	Максимальная скорость [км/ч]	Расход топлива в городе на 100 км [л]
BMW	Хетчбэк 3-дв.	1865	350	177	1995	Дизельный	4	Механика	6	Задний	53	7.5	228	6.9
BMW	Хетчбэк 3-дв.	1865	350	177	1995	Дизельный	4	Механика	6	Задний	53	7.5	228	6.1
BMW	Хетчбэк 3-дв.	1865	350	177	1995	Дизельный	4	Механика	6	Задний	53	7.5	228	5.9
BMW	Хетчбэк 3-дв.	1810	200	156	1995	Бензиновый	4	Автомат	6	Задний	53	9.1	213	10.8
BMW	Хетчбэк 3-дв.	1810	210	170	1995	Бензиновый	4	Автомат	6	Задний	53	8.3	222	8.4
Mitsubishi	Купе	2030	407	286	2972	Бензиновый	6	Механика	5	Полный	75	5.9	250	14.2
Mitsubishi	Купе	2030	407	286	2972	Бензиновый	6	Механика	5	Полный	75	5.9	250	14.2
Mitsubishi	Кроссовер	1870	154	117	1590	Бензиновый	4	Механика	5	Передний	63	11.4	183	7.5
Mitsubishi	Кроссовер	1970	177	140	1798	Бензиновый	4	Вариатор		Передний	63	13.1	186	9.8
Mitsubishi	Кроссовер	2060	300	147	1796	Дизельный	4	Механика	6	Передний	63	9.7	200	6.7
Mitsubishi	Кроссовер	2060	300	147	1798	Дизельный	4	Механика	6	Полный подключаемый	60	10	198	6.9
Mitsubishi	Кроссовер	1970	197	150	1998	Бензиновый	4	Вариатор		Полный	60	11.9	188	10.5
Mitsubishi	Кроссовер	1870	154	117	1590	Бензиновый	4	Механика	5	Передний	63	11.4	183	7.8
Mitsubishi	Кроссовер	1970	177	140	1798	Бензиновый	4	Вариатор		Передний	63	13.1	186	9.8
Mitsubishi	Кроссовер	1970	197	150	1998	Бензиновый	4	Вариатор		Полный подключаемый	60	11.9	188	10.5
Mitsubishi	Седан	1630	137	100	1597	Бензиновый	4	Автомат	4	Передний	60	11.5	185	9.7
Mitsubishi	Седан	1630	137	90	1597	Бензиновый	4	Автомат	4	Передний	60	12	180	9.5
Mitsubishi	Седан	1630	137	100	1597	Бензиновый	4	Механика	5	Передний	60	11.5	185	9.7
Mitsubishi	Седан	1630	137	90	1597	Бензиновый	4	Механика	5	Передний	60	12	180	9.5
Mitsubishi	Седан	1660	162	116	1834	Бензиновый	4	Автомат	4	Передний	60	10.2	200	8.7
Mitsubishi	Седан	1630	174	125	1834	Бензиновый	4	Автомат	4	Передний	60	9.4	205	8.6
